Day,State ID,State,Lat,Long_,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,Resident Population 2020 Census,Population Density 2020 Census,Density Rank 2020 Census,SexRatio,Confirmed,Deaths,Recovered
2,1,Alabama,32.3182,-86.9023,162449,7535.061393999999,1891468,1.318688457,38576.31315,"5,024,279",99.2,29,94,True,False,False
2,2,Alaska,61.3707,-152.4044,40421,6534.252848,1290349,0.449781385,176386.8251,"733,391",1.3,52,109,True,True,False
2,3,Arizona,33.7298,-111.4312,452222,7407.212012999999,5218721,1.680608365,39916.14181,"7,151,502",62.9,35,99,True,True,True
2,4,Arkansas,34.9697,-92.3731,24012,7669.219075,2079788,1.611202807,68917.26567000001,"3,011,524",57.9,36,96,True,True,True
2,5,California,36.1162,-119.6816,2362015,6045.10913,33391442,1.111214846,84509.14544,"39,538,223",253.7,13,99,True,True,False
2,6,Colorado,39.0598,-105.3111,316043,5889.695239,4474747,1.448232755,77703.63149,"5,773,714",55.7,39,101,True,True,True
2,7,Connecticut,41.5978,-72.7554,174221,5332.530032,4383361,3.2079739110000003,122945.5301,"3,605,944",744.7,6,95,True,True,False
2,8,Delaware,39.3185,-75.5071,39092,6045.920778,991318,1.579671496,101802.6955,"989,948",508,8,94,True,True,False
2,9,District of Columbia,38.8974,-77.0268,7715,4181.231571,911378,2.683926938,129136.2793,"689,545","11,280.00",1,96,True,True,True
2,10,Florida,27.7663,-81.6868,1332943,6308.080782,15950750,1.615697285,74266.43692000001,"21,538,187",401.4,10,96,True,True,False
2,11,Georgia,33.0406,-83.6431,674162,6452.808747,5436988,1.5997150869999999,51208.169819999996,"10,711,908",185.6,19,95,True,True,False
2,12,Hawaii,21.0943,-157.4983,9934,1566.596415,822805,1.3029169109999998,58112.95089,"1,455,271",226.6,15,101,True,False,False
2,13,Idaho,44.2405,-114.4788,82102,7957.12523,545485,1.018291268,30524.071589999996,"1,839,106",22.3,46,101,True,True,False
2,15,Indiana,39.8494,-86.2583,167279,7769.949254000001,5769273,1.607753924,85696.45462,"6,785,528",189.4,18,97,True,True,True
2,17,Kansas,38.5266,-96.7265,222830,7905.567337,1012506,1.246993235,34754.44116,"2,937,880",35.9,43,99,True,True,False
2,18,Kentucky,37.6681,-84.6701,233999,6132.275124,3210804,0.984779355,71867.48001,"4,505,836",114.1,25,97,True,True,True
2,19,Louisiana,31.1695,-91.8678,44075,6781.866437000001,4214182,2.375069384,90651.08069,"4,657,757",107.8,28,96,False,False,False
2,20,Maine,44.6939,-69.3819,13449,1878.0519739999997,1112457,1.418102595,82759.04396,"1,362,359",44.2,40,96,True,True,True
2,21,Maryland,39.0639,-76.8021,267830,4683.856903,5807666,2.107207306,96063.07314,"6,177,224",636.1,7,94,True,True,True
2,22,Massachusetts,42.2302,-71.5301,110007,5573.89674,11046093,3.254195288,160262.43300000002,"7,029,917",901.2,5,94,True,True,False
2,23,Michigan,43.3266,-84.5361,161204,5388.291832,8122575,2.472678078,81332.6455,"10,077,331",178,20,97,True,True,True
2,24,Minnesota,45.6945,-93.9002,14197,7408.852209000001,5387936,1.301001359,95537.01376,"5,706,494",71.7,32,99,True,True,True
2,25,Mississippi,32.7416,-89.6787,48174,7401.410346,1347935,2.197233483,45291.24718,"2,961,279",63.1,34,94,True,True,False
2,26,Missouri,38.4561,-92.2884,404588,6685.292276,3679665,1.393353725,59954.511889999994,"6,154,913",89.5,30,96,True,True,False
2,27,Montana,46.9219,-110.4544,4999,7667.073984999999,792779,1.1849555790000001,74176.20872000001,"1,084,225",7.4,50,101,True,True,True
2,28,Nebraska,41.1254,-98.2681,56888,8698.371802,1766104,0.991905481,91299.45698999999,"1,961,504",25.5,45,100,True,True,True
2,29,Nevada,38.3135,-117.0554,225723,7482.315831,2111559,1.3659222359999998,68553.63819,"3,104,614",28.3,44,101,True,True,False
2,30,New Hampshire,43.4525,-71.5639,6490,3324.677082,1032929,1.701101624,75966.80471,"1,377,529",153.8,23,98,True,True,True
2,31,New Jersey,40.2989,-74.521,412610,5498.328678,7798225,3.928767415,87796.19666,"9,288,994","1,263.00",2,95,True,True,True
2,32,New Mexico,34.8405,-106.2485,75272,6933.278775,1995329,1.743030286,95159.3573,"2,117,522",17.5,47,98,True,True,True
2,33,New York,42.1657,-74.9481,869564,5200.410352,25706759,3.78316933,132144.2331,"20,201,249",428.7,9,94,True,True,True
2,34,North Carolina,35.6301,-79.8064,148057,5324.4901549999995,7079384,1.234158911,67499.30683,"10,439,388",214.7,17,95,True,True,False
2,35,North Dakota,47.5289,-99.78399999999999,1999,12189.42816,1290077,1.41025503,169287.6695,"779,094",11.3,49,105,True,True,True
2,36,Ohio,40.3888,-82.7649,132015,6114.012199,7819008,1.2616959079999999,66891.44588,"11,799,448",288.8,12,96,True,True,True
2,37,Oklahoma,35.5653,-96.9289,33687,7481.85923,2690373,0.8535576159999999,67990.71815,"3,959,353",57.7,37,98,True,True,True
2,38,Oregon,44.571999999999996,-122.0709,108986,2758.540895,2652670,1.2823598170000001,62893.20552999999,"4,237,256",44.1,41,98,True,True,False
2,39,Pennsylvania,40.5908,-77.2098,190870,5159.979438,7675010,2.449211299,30829.58437,"13,002,700",290.6,11,96,True,True,True
2,40,Rhode Island,41.6809,-71.5118,80791,8302.080216,1974498,2.0204891469999997,186385.7552,"1,097,379","1,061.40",3,95,False,True,False
2,41,South Carolina,33.8569,-80.945,154798,6073.710833,3204255,1.721998734,62234.08407999999,"5,118,425",170.2,21,94,True,True,True
2,42,South Dakota,44.2998,-99.4388,5733,11284.46102,373946,1.503571107,42270.07242,"886,667",11.7,48,102,True,True,True
2,45,Utah,40.15,-111.8624,50073,8785.330313,2268187,0.459428945,70749.11774,"3,271,616",39.7,42,101,True,True,True
2,46,Vermont,44.0459,-72.7107,2362,1232.2332609999999,708246,1.807777344,113502.9624,"643,077",69.8,33,97,True,True,True
2,47,Virginia,37.7693,-78.17,322456,4203.083609,4337939,1.426321584,50822.20542,"8,631,393",218.6,16,97,True,True,True
2,49,West Virginia,38.4912,-80.9545,26834,4984.356752000001,1552160,1.537049268,86608.96678999999,"1,793,716",74.6,31,98,True,True,True
2,50,Wisconsin,44.2685,-89.6165,65894,8993.695764,5402674,1.003720028,92790.64391,"5,893,718",108.8,27,99,True,True,True
2,51,Wyoming,42.756,-107.3025,1098,7701.478508,501784,0.982657663,86699.99084,"576,851",5.9,51,104,True,False,True
3,1,Alabama,32.3182,-86.9023,164924,7585.559181999999,1900070,1.310178688,38751.75014,"5,024,279",99.2,29,94,True,True,False
3,2,Alaska,61.3707,-152.4044,40718,6574.851855,1293837,0.44700403299999997,176863.6242,"733,391",1.3,52,109,True,False,False
3,3,Arizona,33.7298,-111.4312,468633,7643.984509999999,5257472,1.628551504,40154.97511,"7,151,502",62.9,35,99,True,False,True
3,4,Arkansas,34.9697,-92.3731,26025,7736.585940999999,2079788,1.605739373,68917.26567000001,"3,011,524",57.9,36,96,True,True,False
3,5,California,36.1162,-119.6816,2400292,6142.225913,33812786,1.097600672,85575.50912999999,"39,538,223",253.7,13,99,True,True,False
3,6,Colorado,39.0598,-105.3111,318011,5925.779546,4502496,1.445860806,78185.4907,"5,773,714",55.7,39,101,True,True,True
3,7,Connecticut,41.5978,-72.7554,174221,5332.530032,4383361,3.2079739110000003,122945.5301,"3,605,944",744.7,6,95,False,False,False
3,8,Delaware,39.3185,-75.5071,39703,6108.666987,996096,1.5634456319999999,102293.3688,"989,948",508,8,94,True,True,False
3,9,District of Columbia,38.8974,-77.0268,7898,4217.363397,918000,2.667652197,130074.5733,"689,545","11,280.00",1,96,True,True,True
3,10,Florida,27.7663,-81.6868,1343449,6357.448179999999,16020601,1.610254893,74591.66205,"21,538,187",401.4,10,96,True,True,False
3,11,Georgia,33.0406,-83.6431,679936,6507.228731,5462241,1.5869156169999998,51446.01473,"10,711,908",185.6,19,95,True,True,False
3,12,Hawaii,21.0943,-157.4983,10056,1575.2130140000002,825956,1.295789804,58335.49925,"1,455,271",226.6,15,101,True,False,False
3,13,Idaho,44.2405,-114.4788,80895,7974.360194,548008,1.016090438,30665.2528,"1,839,106",22.3,46,101,True,False,True
3,15,Indiana,39.8494,-86.2583,169171,7814.228859999999,5792697,1.610999276,86044.39339,"6,785,528",189.4,18,97,True,True,True
3,17,Kansas,38.5266,-96.7265,222830,7905.567337,1012506,1.246993235,34754.44116,"2,937,880",35.9,43,99,False,False,False
3,18,Kentucky,37.6681,-84.6701,236727,6196.178637,3210804,0.9836539329999999,71867.48001,"4,505,836",114.1,25,97,True,True,True
3,19,Louisiana,31.1695,-91.8678,49809,6906.2642909999995,4256466,2.34755091,91560.64992000001,"4,657,757",107.8,28,96,True,True,False
3,20,Maine,44.6939,-69.3819,13768,1903.866354,1112804,1.402782119,82784.85833999999,"1,362,359",44.2,40,96,True,True,True
3,21,Maryland,39.0639,-76.8021,269947,4719.386404999999,5834126,2.100806466,96500.74102,"6,177,224",636.1,7,94,True,True,True
3,22,Massachusetts,42.2302,-71.5301,113380,5624.4008890000005,11090924,3.252833654,160912.8643,"7,029,917",901.2,5,94,True,True,False
3,23,Michigan,43.3266,-84.5361,161204,5388.291832,8122575,2.472678078,81332.6455,"10,077,331",178,20,97,False,False,False
